,timestamp,value,hour,weekday,value_avg,day,outliers,scores
21,2014-07-01 21:00:00,17.5,21,Tuesday,261.0206171698387,1,yes,-0.042972080252688394
22,2014-07-01 22:00:00,15.5,22,Tuesday,261.03703471435483,1,yes,-0.053582299968958025
24,2014-07-02 00:00:00,31.5,0,Wednesday,261.71503109258066,2,yes,-0.0225323926960157
47,2014-07-02 23:00:00,35.75,23,Wednesday,263.7136023382258,2,yes,-0.03583748384024188
143,2014-07-06 23:00:00,57.25,23,Sunday,265.1471010695,6,yes,-0.035470753972466684
144,2014-07-07 00:00:00,58.0,0,Monday,265.252944812,0,yes,-0.023227342420184094
167,2014-07-07 23:00:00,51.0,23,Monday,266.87901764500003,0,yes,-0.022143466717060467
4992,2015-01-25 00:00:00,467.09364105,0,Sunday,264.0960282331667,6,yes,-0.0201796243478658
5016,2015-01-26 00:00:00,469.10079615,0,Monday,265.252944812,0,yes,-0.023505923291206154
5039,2015-01-26 23:00:00,471.02431975,23,Monday,266.87901764500003,0,yes,-0.023042651995882513
