,timestamp,value,hour,weekday,value_avg,day,outliers,scores
1488,2014-09-01 00:00:00,13763.0,0,Monday,8020.283333333334,0,yes,-0.03094347309375134
1631,2014-09-06 23:00:00,29418.5,23,Saturday,25192.516129032258,5,yes,-0.030632338009314863
2977,2014-11-02 01:00:00,37204.5,1,Sunday,21593.533333333333,6,yes,-0.11773965284997201
4271,2014-12-25 23:00:00,7977.5,23,Thursday,20732.24193548387,3,yes,-0.032028639826696126
4416,2015-01-01 00:00:00,25850.0,0,Thursday,12698.5,3,yes,-0.039352451088910056
4417,2015-01-01 01:00:00,29292.0,1,Thursday,8132.564516129032,3,yes,-0.08525202365377582
4418,2015-01-01 02:00:00,25753.5,2,Thursday,5350.209677419355,3,yes,-0.040682433664896434
4511,2015-01-04 23:00:00,8402.0,23,Sunday,11686.45,6,yes,-0.029789477609663773
5033,2015-01-26 17:00:00,5221.0,17,Monday,17714.1,0,yes,-0.02302637602083657
5034,2015-01-26 18:00:00,5703.5,18,Monday,21190.15,0,yes,-0.021821708851275656
5035,2015-01-26 19:00:00,4565.5,19,Monday,21255.9,0,yes,-0.04094943488968872
5036,2015-01-26 20:00:00,3630.5,20,Monday,19880.766666666666,0,yes,-0.05157688675258132
5037,2015-01-26 21:00:00,2907.0,21,Monday,19197.35,0,yes,-0.05721826036369648
5038,2015-01-26 22:00:00,1324.5,22,Monday,17191.7,0,yes,-0.08624653368857149
5039,2015-01-26 23:00:00,243.0,23,Monday,12863.0,0,yes,-0.10950787023566178
5040,2015-01-27 00:00:00,94.5,0,Tuesday,8483.709677419354,1,yes,-0.04068355317743644
5063,2015-01-27 23:00:00,7792.0,23,Tuesday,16217.370967741936,1,yes,-0.03282887407405699
