,timestamp,value,hour,weekday,value_avg,day,outliers,scores
1631,2014-09-06 23:00:00,29418.5,23,Saturday,25192.516129032258,5,yes,-0.03603184437554707
2640,2014-10-19 00:00:00,27146.5,0,Sunday,23898.733333333334,6,yes,-0.020362226101206526
2977,2014-11-02 01:00:00,37204.5,1,Sunday,21593.533333333333,6,yes,-0.14546579257100556
4271,2014-12-25 23:00:00,7977.5,23,Thursday,20732.24193548387,3,yes,-0.03271893213665211
4416,2015-01-01 00:00:00,25850.0,0,Thursday,12698.5,3,yes,-0.03112325705373964
4417,2015-01-01 01:00:00,29292.0,1,Thursday,8132.564516129032,3,yes,-0.08940334228620406
4418,2015-01-01 02:00:00,25753.5,2,Thursday,5350.209677419355,3,yes,-0.03755164083719309
4511,2015-01-04 23:00:00,8402.0,23,Sunday,11686.45,6,yes,-0.0259435870238921
5035,2015-01-26 19:00:00,4565.5,19,Monday,21255.9,0,yes,-0.032023236188344906
5036,2015-01-26 20:00:00,3630.5,20,Monday,19880.766666666666,0,yes,-0.03904873690761379
5037,2015-01-26 21:00:00,2907.0,21,Monday,19197.35,0,yes,-0.04882187483497591
5038,2015-01-26 22:00:00,1324.5,22,Monday,17191.7,0,yes,-0.07350476162433994
5039,2015-01-26 23:00:00,243.0,23,Monday,12863.0,0,yes,-0.09634687727888402
5040,2015-01-27 00:00:00,94.5,0,Tuesday,8483.709677419354,1,yes,-0.03603400216414332
5063,2015-01-27 23:00:00,7792.0,23,Tuesday,16217.370967741936,1,yes,-0.024076843189657415
